"","vetyears","natcity","natroad","natmass"
"26671","Less Than 2 Yrs",NA,"About Right","About Right"
"26698","2 To 4 Years","About Right","Too Little","Too Little"
"26706","2 To 4 Years",NA,"About Right","Too Little"
"26716","2 To 4 Years",NA,"Too Little","Too Little"
"26733","Less Than 2 Yrs",NA,"About Right","Too Little"
"26742","2 To 4 Years",NA,"About Right","Too Much"
"26752","2 To 4 Years","Too Little","About Right","Too Much"
"26755","2 To 4 Years",NA,"About Right","Too Much"
"26777","2 To 4 Years","About Right","About Right","Too Little"
"26780","Less Than 2 Yrs","About Right","Too Much","Too Little"
"26798","2 To 4 Years",NA,NA,NA
"26804","Less Than 2 Yrs",NA,"Too Little","Too Much"
"26817","2 To 4 Years","About Right","Too Little","About Right"
"26827","2 To 4 Years",NA,"About Right","Too Little"
"26835","Less Than 2 Yrs",NA,"Too Much","About Right"
"26851","Less Than 2 Yrs",NA,"Too Much","Too Little"
"26852","Less Than 2 Yrs",NA,"About Right","About Right"
"26858","Less Than 2 Yrs","About Right","Too Little","Too Little"
"26861","More Than 4 Yrs","Too Much",NA,"About Right"
"26866","2 To 4 Years",NA,"Too Little","Too Much"
"26873","Less Than 2 Yrs","About Right","Too Little","Too Little"
"26877","2 To 4 Years","About Right","Too Little","About Right"
"26887","2 To 4 Years",NA,"Too Little","About Right"
"26892","2 To 4 Years","Too Little","Too Little","Too Little"
"26918","2 To 4 Years","Too Little","Too Little","About Right"
"26943","2 To 4 Years",NA,"Too Little","Too Little"
"26949","More Than 4 Yrs",NA,NA,NA
"26952","2 To 4 Years",NA,"Too Little","About Right"
"26960","2 To 4 Years","About Right","About Right","Too Little"
"26971","2 To 4 Years",NA,NA,NA
"26973","More Than 4 Yrs","Too Little","About Right","About Right"
"26974","More Than 4 Yrs","About Right","About Right","About Right"
"26984","More Than 4 Yrs",NA,"Too Little","Too Little"
"26991","2 To 4 Years","Too Little","Too Much","About Right"
"27005","2 To 4 Years",NA,"About Right","About Right"
"27010","Less Than 2 Yrs",NA,"Too Little","Too Little"
"27013","2 To 4 Years","Too Little",NA,NA
"27026","2 To 4 Years","Too Little","About Right","About Right"
"27034","More Than 4 Yrs",NA,"Too Little","Too Little"
"27044","2 To 4 Years",NA,"Too Little","Too Much"
"27056","Less Than 2 Yrs",NA,NA,NA
"27066","2 To 4 Years","Too Much","About Right","Too Much"
"27070","Less Than 2 Yrs",NA,"About Right","About Right"
"27073","More Than 4 Yrs",NA,"Too Little","Too Much"
"27100","2 To 4 Years","Too Little","Too Little","About Right"
"27110","2 To 4 Years",NA,"About Right","About Right"
"27115","Less Than 2 Yrs","Too Little","Too Little","Too Little"
"27123","2 To 4 Years",NA,"About Right","Too Little"
"27126","Less Than 2 Yrs",NA,"About Right","Too Much"
"27130","Less Than 2 Yrs",NA,"Too Little","About Right"
"27157","2 To 4 Years",NA,"About Right","Too Little"
"27160","Less Than 2 Yrs",NA,"About Right","Too Much"
"27167","More Than 4 Yrs",NA,"Too Much","Too Little"
"27172","More Than 4 Yrs",NA,"Too Little","About Right"
"27176","More Than 4 Yrs","Too Little","Too Much","About Right"
"27183","Less Than 2 Yrs",NA,"About Right","Too Little"
"27187","2 To 4 Years",NA,"About Right","About Right"
"27192","2 To 4 Years",NA,"Too Much","About Right"
"27193","2 To 4 Years","Too Much","Too Much","Too Little"
"27203","2 To 4 Years","About Right","Too Much","About Right"
"27210","Less Than 2 Yrs",NA,"Too Little","Too Little"
"27222","2 To 4 Years","Too Much","Too Little","Too Little"
"27236","More Than 4 Yrs","About Right","About Right","Too Little"
"27245","2 To 4 Years",NA,"About Right","Too Little"
"27250","2 To 4 Years","Too Much","Too Much","Too Much"
"27267","2 To 4 Years",NA,"Too Little","Too Little"
"27277","2 To 4 Years",NA,"Too Little","About Right"
"27281","2 To 4 Years","Too Little","Too Little","Too Little"
"27282","2 To 4 Years",NA,"About Right","Too Much"
"27287","2 To 4 Years","Too Much","About Right","Too Little"
"27301","More Than 4 Yrs",NA,"About Right","Too Little"
"27310","2 To 4 Years",NA,"About Right","About Right"
"27326","2 To 4 Years",NA,"About Right","About Right"
"27331","2 To 4 Years",NA,"About Right","About Right"
"27332","2 To 4 Years","Too Much","Too Little","About Right"
"27335","More Than 4 Yrs","About Right","Too Little","Too Little"
"27349","Less Than 2 Yrs",NA,"Too Little","Too Little"
"27352","Less Than 2 Yrs","Too Little","About Right","Too Little"
"27371","Less Than 2 Yrs",NA,"About Right","Too Little"
"27377","2 To 4 Years",NA,"Too Little","Too Little"
"27384","More Than 4 Yrs",NA,"Too Little","Too Little"
"27400","More Than 4 Yrs","About Right","Too Little","About Right"
"27461","More Than 4 Yrs",NA,"Too Little","Too Little"
"27462","Less Than 2 Yrs",NA,"About Right","About Right"
"27473","Less Than 2 Yrs",NA,"About Right",NA
"27498","2 To 4 Years","About Right","Too Little","Too Little"
"27515","Less Than 2 Yrs","About Right","Too Little","About Right"
"27518","More Than 4 Yrs",NA,"Too Little","Too Little"
"27529","2 To 4 Years","Too Much","About Right","Too Little"
"27536","More Than 4 Yrs",NA,"About Right","About Right"
"27545","More Than 4 Yrs",NA,"About Right","About Right"
"27560","2 To 4 Years","Too Little","Too Little","Too Little"
"27563","2 To 4 Years","Too Much","About Right","About Right"
"27568","More Than 4 Yrs","Too Little","Too Much","Too Much"
"27571","More Than 4 Yrs",NA,"Too Little","Too Little"
"27577","2 To 4 Years",NA,"About Right","Too Little"
"27578","More Than 4 Yrs","Too Little","Too Little","Too Much"
"27589","More Than 4 Yrs",NA,"Too Little",NA
"27593","More Than 4 Yrs",NA,"About Right","Too Little"
"27595","More Than 4 Yrs",NA,"About Right","Too Little"
"27599","More Than 4 Yrs",NA,"About Right","About Right"
"27603","2 To 4 Years",NA,"Too Little","Too Little"
"27618","More Than 4 Yrs","Too Little","Too Little","About Right"
"27621","2 To 4 Years",NA,"About Right","About Right"
"27636","2 To 4 Years","Too Much","About Right","About Right"
"27655","2 To 4 Years","About Right","About Right","About Right"
"27657","2 To 4 Years","Too Much","Too Little","Too Little"
"27680","More Than 4 Yrs","About Right","About Right","About Right"
"27711","2 To 4 Years",NA,"Too Little","About Right"
"27722","2 To 4 Years","Too Little","Too Much","About Right"
"27742","2 To 4 Years",NA,"About Right","About Right"
"27758","2 To 4 Years",NA,"Too Little","Too Little"
"27773","Less Than 2 Yrs",NA,"Too Much","About Right"
"27817","2 To 4 Years","Too Much","Too Little","Too Much"
"27835","More Than 4 Yrs",NA,"About Right","About Right"
"27849","Less Than 2 Yrs","Too Little","Too Little","Too Little"
"27856","Less Than 2 Yrs","About Right","Too Little","Too Much"
"27859","More Than 4 Yrs","Too Little","Too Little","Too Little"
"27871","Less Than 2 Yrs","Too Much","Too Little","About Right"
"27879","Less Than 2 Yrs","About Right","About Right","Too Little"
"27884","2 To 4 Years","Too Little","Too Little","Too Little"
"27889","2 To 4 Years",NA,"About Right","About Right"
"27902","Less Than 2 Yrs",NA,"About Right","Too Little"
"27904","Less Than 2 Yrs","Too Little","Too Little","Too Little"
"27906","2 To 4 Years",NA,"Too Little","Too Little"
"27920","2 To 4 Years","About Right","About Right","About Right"
"27934","Less Than 2 Yrs",NA,"Too Little","Too Little"
"27936","Less Than 2 Yrs",NA,"Too Much","Too Little"
"27961","More Than 4 Yrs",NA,"Too Little","Too Little"
"27974","2 To 4 Years",NA,"About Right","About Right"
"27976","2 To 4 Years","Too Little","Too Little","About Right"
"27980","2 To 4 Years",NA,"About Right","Too Little"
"27985","2 To 4 Years",NA,"Too Little","Too Little"
"27986","2 To 4 Years","Too Little","About Right","Too Little"
"27993","Less Than 2 Yrs","About Right","About Right","About Right"
"28005","Less Than 2 Yrs",NA,"About Right","About Right"
"28011","2 To 4 Years","Too Little","Too Little","About Right"
"28017","Less Than 2 Yrs",NA,"Too Little","About Right"
"28032","2 To 4 Years",NA,"Too Little","Too Little"
"28038","2 To 4 Years",NA,"Too Little","Too Little"
"28041","2 To 4 Years","Too Little","About Right","Too Little"
"28059","2 To 4 Years",NA,"Too Little","Too Much"
"28077","2 To 4 Years","About Right","Too Little","Too Little"
"28080","2 To 4 Years",NA,"About Right","About Right"
"28081","2 To 4 Years","Too Little","About Right","About Right"
"28087","Less Than 2 Yrs","About Right","About Right","About Right"
"28095","2 To 4 Years","About Right","About Right","Too Much"
"28099","2 To 4 Years","About Right","About Right","Too Little"
"28118","2 To 4 Years",NA,"About Right","Too Little"
"28136","Less Than 2 Yrs","Too Much","About Right","Too Little"
"28139","2 To 4 Years","Too Little","Too Little","Too Little"
"28153","More Than 4 Yrs",NA,"About Right","Too Little"
"28154","More Than 4 Yrs",NA,"About Right","About Right"
"28156","More Than 4 Yrs","Too Little","About Right","Too Little"
"28158","2 To 4 Years",NA,"About Right","Too Little"
"28161","Less Than 2 Yrs","Too Little","Too Little","Too Little"
"28190","2 To 4 Years",NA,"About Right","About Right"
"28197","More Than 4 Yrs",NA,"About Right","About Right"
"28203","2 To 4 Years","Too Little","About Right","About Right"
"28224","2 To 4 Years",NA,"About Right",NA
"28229","Less Than 2 Yrs",NA,NA,"Too Little"
"28241","Less Than 2 Yrs",NA,"About Right","About Right"
"28243","2 To 4 Years",NA,"About Right","About Right"
"28266","More Than 4 Yrs",NA,"About Right","About Right"
"28276","2 To 4 Years","About Right","About Right","Too Little"
"28294","2 To 4 Years",NA,"About Right","Too Little"
"28298","2 To 4 Years",NA,"Too Little","Too Much"
"28306","2 To 4 Years",NA,"About Right","About Right"
"28317","2 To 4 Years",NA,"Too Little","About Right"
"28322","2 To 4 Years","Too Little","Too Little","Too Little"
"28325","More Than 4 Yrs",NA,"Too Much","About Right"
"28330","2 To 4 Years","Too Little","Too Little","Too Little"
"28342","More Than 4 Yrs",NA,"Too Little",NA
"28346","More Than 4 Yrs",NA,"About Right","Too Little"
"28358","More Than 4 Yrs",NA,"About Right","About Right"
"28368","2 To 4 Years","Too Much","About Right","About Right"
"28393","2 To 4 Years",NA,"Too Little","Too Little"
"28398","Less Than 2 Yrs",NA,"About Right","About Right"
"28450","2 To 4 Years",NA,"Too Little",NA
"28451","2 To 4 Years",NA,"About Right","About Right"
"28454","More Than 4 Yrs","Too Much","About Right","About Right"
"28467","More Than 4 Yrs","Too Little","About Right","About Right"
"28471","More Than 4 Yrs","Too Much","Too Little","Too Much"
"28473","More Than 4 Yrs",NA,"Too Little","Too Little"
"28488","2 To 4 Years",NA,"Too Little","About Right"
"28501","2 To 4 Years",NA,"Too Little",NA
"28510","2 To 4 Years","Too Little","About Right","Too Little"
"28527","2 To 4 Years","Too Little","About Right","About Right"
"28537","Less Than 2 Yrs",NA,"Too Little","Too Much"
"28540","Less Than 2 Yrs",NA,"Too Little","Too Much"
"28545","More Than 4 Yrs","Too Little","Too Little","Too Much"
"28559","Less Than 2 Yrs",NA,"Too Little","Too Little"
"28570","Less Than 2 Yrs",NA,"Too Little",NA
"28572","More Than 4 Yrs",NA,"Too Little","Too Little"
"28578","More Than 4 Yrs","About Right","Too Little","About Right"
"28580","2 To 4 Years",NA,"About Right","Too Little"
"28586","More Than 4 Yrs",NA,"Too Little","Too Little"
"28605","2 To 4 Years","Too Much","Too Little",NA
"28611","More Than 4 Yrs","Too Little","About Right","About Right"
"28615","More Than 4 Yrs",NA,"Too Little","Too Little"
"28636","Less Than 2 Yrs","Too Little","Too Little","Too Little"
"28638","2 To 4 Years","About Right","About Right",NA
"28653","2 To 4 Years","Too Little","About Right","About Right"
"28664","Less Than 2 Yrs","About Right","Too Little","About Right"
"28670","Less Than 2 Yrs",NA,"About Right","Too Little"
"28677","More Than 4 Yrs",NA,"About Right","About Right"
"28705","2 To 4 Years","Too Little","Too Much","Too Much"
"28713","2 To 4 Years",NA,"About Right","Too Little"
"28741","More Than 4 Yrs","Too Little","Too Little","Too Little"
"28750","2 To 4 Years",NA,"Too Little","About Right"
"28777","2 To 4 Years","Too Little","Too Little","About Right"
"28783","2 To 4 Years","About Right","Too Little","Too Little"
"28795","2 To 4 Years","Too Much","Too Much","Too Much"
"28798","2 To 4 Years","About Right","About Right","About Right"
"28818","More Than 4 Yrs",NA,"About Right","About Right"
"28819","More Than 4 Yrs",NA,"About Right","Too Little"
"28826","2 To 4 Years","Too Little","About Right","About Right"
"28831","Less Than 2 Yrs","Too Little","Too Little","About Right"
"28834","2 To 4 Years","Too Little","About Right","Too Little"
"28889","2 To 4 Years","About Right","Too Little","About Right"
"28906","2 To 4 Years",NA,"Too Little","Too Little"
"28908","2 To 4 Years","Too Little","Too Little","About Right"
"28918","2 To 4 Years",NA,"About Right","Too Little"
"28922","2 To 4 Years","About Right","About Right",NA
"28932","Less Than 2 Yrs",NA,"Too Little","About Right"
"28935","Less Than 2 Yrs","Too Little","Too Little","Too Little"
"28945","Less Than 2 Yrs",NA,"Too Little","About Right"
"28951","Less Than 2 Yrs",NA,"About Right","Too Little"
"28959","2 To 4 Years",NA,"Too Little","About Right"
"28969","2 To 4 Years",NA,"Too Little","Too Much"
"28992","Less Than 2 Yrs","Too Little","Too Little","About Right"
"28996","2 To 4 Years",NA,"Too Little","About Right"
"29003","2 To 4 Years",NA,"About Right",NA
"29011","2 To 4 Years","About Right","Too Little","Too Little"
"29020","2 To 4 Years","Too Little","Too Much","Too Much"
"29022","Less Than 2 Yrs",NA,"About Right","About Right"
"29024","More Than 4 Yrs","About Right","Too Much",NA
"29031","2 To 4 Years","About Right","About Right","Too Little"
"29033","More Than 4 Yrs",NA,"Too Little","Too Little"
"29049","2 To 4 Years","About Right","Too Little","About Right"
"29060","2 To 4 Years","About Right","About Right","About Right"
"29068","More Than 4 Yrs",NA,"About Right","Too Little"
"29070","More Than 4 Yrs",NA,"About Right","About Right"
"29071","Less Than 2 Yrs",NA,"Too Little","About Right"
"29072","More Than 4 Yrs","About Right","About Right","Too Little"
"29073","More Than 4 Yrs","Too Much","Too Little","Too Little"
"29075","2 To 4 Years",NA,"About Right","Too Much"
"29082","2 To 4 Years",NA,"About Right","Too Much"
"29098","2 To 4 Years","Too Little","Too Little","Too Little"
"29099","More Than 4 Yrs","Too Much","About Right","About Right"
"29105","Less Than 2 Yrs",NA,"Too Little","Too Little"
"29137","More Than 4 Yrs","Too Little","Too Little","Too Little"
"29139","More Than 4 Yrs",NA,"About Right","Too Little"
"29140","Less Than 2 Yrs",NA,"Too Much","Too Much"
"29142","More Than 4 Yrs","Too Little","About Right","Too Little"
"29149","Less Than 2 Yrs",NA,"Too Little","Too Little"
"29155","More Than 4 Yrs","Too Much","Too Little","Too Little"
"29162","2 To 4 Years","Too Little","Too Little","Too Little"
"29163","Less Than 2 Yrs","Too Little","About Right","Too Little"
"29171","2 To 4 Years","Too Little","Too Little","About Right"
"29172","2 To 4 Years","Too Much","About Right","About Right"
"29192","Less Than 2 Yrs",NA,"Too Little","About Right"
"29195","2 To 4 Years",NA,"Too Little","Too Little"
"29208","2 To 4 Years",NA,"Too Little","Too Little"
"29242","2 To 4 Years",NA,"Too Little","About Right"
"29258","More Than 4 Yrs","Too Little","Too Little","About Right"
"29259","More Than 4 Yrs",NA,"Too Little","Too Little"
"29264","More Than 4 Yrs","Too Little","About Right","About Right"
"29273","2 To 4 Years",NA,"About Right",NA
"29281","More Than 4 Yrs","Too Little","Too Little","About Right"
"29286","Less Than 2 Yrs",NA,"Too Little","Too Little"
"29291","2 To 4 Years",NA,"Too Little",NA
"29311","Less Than 2 Yrs",NA,"Too Little","About Right"
"29317","2 To 4 Years",NA,"Too Little","Too Much"
"29325","2 To 4 Years",NA,"About Right","Too Little"
"29351","Less Than 2 Yrs",NA,"Too Little",NA
"29364","2 To 4 Years","Too Little","Too Much","Too Little"
"29372","2 To 4 Years",NA,"Too Little","Too Much"
"29385","More Than 4 Yrs","Too Little","Too Much","Too Little"
"29413","Less Than 2 Yrs","Too Little","Too Little","Too Little"
"29441","2 To 4 Years","Too Little","About Right","About Right"
"29468","2 To 4 Years","Too Little",NA,NA
"29605","2 To 4 Years","Too Much","About Right","About Right"
"29655","2 To 4 Years","About Right","About Right","About Right"
"29679","Less Than 2 Yrs","Too Little","Too Little","About Right"
"29774","Less Than 2 Yrs","Too Much","Too Little","About Right"
"29778","2 To 4 Years","Too Little","Too Little","Too Little"
"29833","More Than 4 Yrs","Too Little","About Right","About Right"
"29858","2 To 4 Years","Too Little","Too Little","About Right"
"29875","More Than 4 Yrs","Too Much","Too Little","Too Little"
"29923","2 To 4 Years","Too Much","Too Little","Too Little"
"29931","2 To 4 Years","Too Little",NA,"About Right"
"29985","More Than 4 Yrs","Too Little","Too Little","Too Little"
"30075","Less Than 2 Yrs","Too Little","Too Little","Too Little"
"30089","Less Than 2 Yrs","Too Much","About Right","Too Much"
"30163","2 To 4 Years","Too Much","About Right","Too Little"
"30186","Less Than 2 Yrs",NA,"About Right","About Right"
"30200","2 To 4 Years","Too Much","About Right","About Right"
"30245","2 To 4 Years",NA,NA,NA
"30249","More Than 4 Yrs","Too Much","Too Little","About Right"
"30258","More Than 4 Yrs","Too Little","Too Little","About Right"
"30427","2 To 4 Years","About Right","Too Little","About Right"
"30468","More Than 4 Yrs","Too Much",NA,"Too Little"
"30470","More Than 4 Yrs","About Right","About Right","About Right"
"30502","More Than 4 Yrs","Too Little","About Right","About Right"
"30598","Less Than 2 Yrs","Too Little","Too Little","Too Little"
"30641","More Than 4 Yrs","Too Little","About Right","About Right"
"30653","Less Than 2 Yrs","Too Little","Too Much",NA
"30672","More Than 4 Yrs","Too Much","Too Little","About Right"
"30697","2 To 4 Years","Too Little","About Right","Too Much"
"30809","2 To 4 Years","About Right","Too Little","About Right"
"30821","2 To 4 Years",NA,"About Right","About Right"
"30856","2 To 4 Years","Too Little","Too Little",NA
"30861","More Than 4 Yrs","Too Little","About Right","About Right"
"30862","2 To 4 Years","About Right","About Right","About Right"
"30874","2 To 4 Years","About Right","About Right","About Right"
"30944","Less Than 2 Yrs","Too Little","Too Little","About Right"
"31024","Less Than 2 Yrs","About Right","About Right","Too Little"
"31103","More Than 4 Yrs","Too Much","Too Little","Too Little"
"31163","2 To 4 Years","Too Little","Too Much","Too Little"
"31178","2 To 4 Years","Too Little","Too Little","Too Little"
"31184","More Than 4 Yrs","Too Little","Too Little","About Right"
"31194","Less Than 2 Yrs","About Right","Too Little","Too Little"
"31209","2 To 4 Years",NA,"About Right","Too Little"
"31233","2 To 4 Years","About Right","About Right","About Right"
"31241","Less Than 2 Yrs",NA,NA,NA
"31247","2 To 4 Years","About Right","Too Little","Too Little"
"31273","More Than 4 Yrs",NA,"Too Much",NA
"31277","More Than 4 Yrs","Too Little","Too Little","Too Much"
"31285","More Than 4 Yrs","Too Little","About Right","About Right"
"31307","Less Than 2 Yrs","Too Little",NA,"About Right"
"31338","2 To 4 Years","About Right","Too Little","About Right"
"31442","2 To 4 Years","Too Little","About Right",NA
"31461","2 To 4 Years","Too Little","About Right","Too Little"
"31492","2 To 4 Years","About Right","Too Little","Too Little"
"31513","2 To 4 Years","Too Little","About Right","About Right"
"31522","More Than 4 Yrs","About Right","Too Little","Too Little"
"31531","2 To 4 Years","Too Little","About Right","Too Little"
"31543","2 To 4 Years","Too Little","Too Little","Too Little"
"31566","2 To 4 Years","Too Little","Too Little","Too Little"
"31601","2 To 4 Years","Too Much","Too Little","Too Little"
"31735","More Than 4 Yrs","Too Much","Too Little","Too Much"
"31759","More Than 4 Yrs","Too Little","Too Little","About Right"
"31771","Less Than 2 Yrs","About Right","About Right","About Right"
"31837","Less Than 2 Yrs","Too Little","Too Little","Too Little"
"31843","2 To 4 Years","Too Little","Too Little","About Right"
"31875","More Than 4 Yrs","Too Much","About Right","About Right"
"31880","More Than 4 Yrs","About Right","About Right","About Right"
"31882","More Than 4 Yrs",NA,"Too Little","About Right"
"31947","2 To 4 Years","About Right","About Right","About Right"
"32005","2 To 4 Years",NA,"About Right",NA
"32043","Less Than 2 Yrs","Too Little","Too Little","Too Little"
"32063","2 To 4 Years",NA,"Too Little","Too Little"
"32165","More Than 4 Yrs","About Right","About Right","About Right"
"32211","2 To 4 Years",NA,"Too Little","Too Little"
"32251","More Than 4 Yrs","Too Little","Too Little",NA
"32275","Less Than 2 Yrs",NA,"About Right","Too Little"
"32338","More Than 4 Yrs","Too Little","About Right","Too Little"
"32363","More Than 4 Yrs","Too Much","About Right","Too Much"
"53075","2 To 4 Years","Too Little","Too Little","Too Little"
"53083","2 To 4 Years",NA,"Too Little","Too Little"
"53094","Less Than 2 Yrs",NA,"Too Little","Too Little"
"53095","More Than 4 Yrs",NA,"About Right","Too Much"
"53104","Less Than 2 Yrs","Too Much","Too Little","Too Much"
"53114","2 To 4 Years","Too Much","Too Little","Too Much"
"53121","More Than 4 Yrs","Too Much","Too Little","About Right"
"53132","2 To 4 Years","About Right","About Right","About Right"
"53140","Less Than 2 Yrs","Too Much","Too Much","About Right"
"53159","Less Than 2 Yrs",NA,"Too Little","About Right"
"53169","2 To 4 Years","Too Little","Too Little","About Right"
"53172","2 To 4 Years","About Right","Too Little","Too Little"
"53199","2 To 4 Years",NA,"Too Little","About Right"
"53200","2 To 4 Years",NA,"Too Little","Too Little"
"53238","2 To 4 Years",NA,"Too Much","Too Much"
"53240","2 To 4 Years",NA,"Too Little","About Right"
"53271","Less Than 2 Yrs","Too Little","About Right","Too Little"
"53273","2 To 4 Years","About Right","Too Little","Too Little"
"53274","2 To 4 Years","About Right","Too Little","Too Little"
"53276","2 To 4 Years","Too Much","Too Little","About Right"
"53299","2 To 4 Years","Too Much","About Right","Too Little"
"53310","2 To 4 Years","Too Much","Too Little","Too Much"
"53312","2 To 4 Years","About Right","Too Little","Too Little"
"53323","Less Than 2 Yrs","Too Little","Too Little","Too Little"
"53328","More Than 4 Yrs",NA,"Too Little","Too Little"
"53351","2 To 4 Years","Too Little","About Right","About Right"
"53354","Less Than 2 Yrs","Too Little","Too Little","Too Little"
"53367","Less Than 2 Yrs","Too Little","Too Little","About Right"
"53371","2 To 4 Years","Too Little","Too Little","About Right"
"53372","More Than 4 Yrs","About Right","Too Little","Too Little"
"53379","2 To 4 Years","Too Little","Too Little","About Right"
"53392","More Than 4 Yrs",NA,"Too Little","Too Little"
"53423","2 To 4 Years","Too Much","About Right","Too Little"
"53429","2 To 4 Years",NA,"Too Little","About Right"
"53436","2 To 4 Years",NA,"Too Little","Too Little"
"53450","2 To 4 Years",NA,"About Right","Too Little"
"53454","2 To 4 Years",NA,"About Right","About Right"
"53462","More Than 4 Yrs",NA,"Too Little","About Right"
"53465","Less Than 2 Yrs",NA,"Too Little","Too Much"
"53490","More Than 4 Yrs","Too Much","Too Little","Too Little"
"53515","More Than 4 Yrs",NA,"Too Much",NA
"53516","2 To 4 Years","Too Much","Too Little","Too Much"
"53517","More Than 4 Yrs",NA,"About Right","About Right"
"53522","2 To 4 Years","Too Little","About Right","Too Little"
"53527","2 To 4 Years","Too Little","About Right","About Right"
"53533","More Than 4 Yrs","About Right","About Right","Too Little"
"53549","Less Than 2 Yrs",NA,"About Right","Too Little"
"53553","2 To 4 Years","About Right","About Right","Too Little"
"53564","2 To 4 Years",NA,"Too Little","Too Much"
"53566","More Than 4 Yrs","Too Much","Too Little","Too Much"
"53569","More Than 4 Yrs",NA,"Too Little","About Right"
"53575","More Than 4 Yrs","Too Little","Too Much","Too Little"
"53581","More Than 4 Yrs",NA,"Too Little","About Right"
"53584","More Than 4 Yrs",NA,"Too Little","Too Little"
"53594","Less Than 2 Yrs","About Right","About Right","Too Little"
"53596","More Than 4 Yrs",NA,"Too Little","Too Little"
"53599","Less Than 2 Yrs",NA,"About Right","About Right"
"53600","Less Than 2 Yrs","About Right","About Right","Too Little"
"53610","2 To 4 Years","Too Little","About Right","Too Little"
"53616","More Than 4 Yrs","Too Little","About Right","About Right"
"53617","Less Than 2 Yrs",NA,"Too Much","Too Much"
"53618","2 To 4 Years","About Right","Too Much","About Right"
"53619","Less Than 2 Yrs","Too Much","Too Little","About Right"
"53630","2 To 4 Years","Too Much","Too Little","Too Much"
"53643","Less Than 2 Yrs","About Right","About Right","About Right"
"53666","More Than 4 Yrs",NA,"Too Little","Too Little"
"53675","2 To 4 Years","About Right","Too Little","Too Little"
"53684","Less Than 2 Yrs","Too Little","Too Little","About Right"
"53690","2 To 4 Years",NA,"Too Little",NA
"53696","2 To 4 Years",NA,"Too Little","Too Little"
"53706","More Than 4 Yrs","Too Much","Too Much","Too Little"
"53717","2 To 4 Years",NA,"Too Little","About Right"
"53718","2 To 4 Years",NA,NA,NA
"53720","2 To 4 Years","Too Much","Too Little","Too Much"
"53721","More Than 4 Yrs",NA,"Too Little","Too Little"
"53733","2 To 4 Years","Too Little","Too Little","Too Little"
"53734","2 To 4 Years",NA,"Too Little","Too Little"
"53735","2 To 4 Years",NA,"Too Little","Too Little"
"53741","More Than 4 Yrs","About Right","Too Little","Too Little"
"53772","Less Than 2 Yrs","Too Little","About Right","Too Little"
"53774","2 To 4 Years",NA,"About Right","Too Much"
"53776","2 To 4 Years",NA,"Too Little","Too Little"
"53784","More Than 4 Yrs",NA,"Too Little","Too Little"
"53796","2 To 4 Years","Too Little","Too Much","About Right"
"53825","2 To 4 Years",NA,"Too Much","About Right"
"53838","2 To 4 Years","About Right","About Right","Too Much"
"53846","2 To 4 Years","Too Much",NA,"Too Much"
"53850","2 To 4 Years","Too Much","Too Little","Too Little"
"53857","Less Than 2 Yrs",NA,"Too Little","Too Little"
"53858","More Than 4 Yrs","Too Much","Too Little","About Right"
"53860","2 To 4 Years","Too Little","Too Little","Too Little"
"53865","More Than 4 Yrs","About Right","Too Little","Too Little"
"53876","2 To 4 Years","About Right","Too Little","Too Little"
"53884","Less Than 2 Yrs",NA,"Too Little","About Right"
"53905","More Than 4 Yrs","About Right","About Right","About Right"
"53930","More Than 4 Yrs",NA,"Too Little","About Right"
"53957","More Than 4 Yrs","About Right","Too Little","Too Little"
"53971","More Than 4 Yrs",NA,"Too Little","Too Little"
"54031","Less Than 2 Yrs",NA,"About Right","Too Little"
"54032","More Than 4 Yrs","Too Little","About Right","Too Little"
"54048","2 To 4 Years","Too Much","Too Little",NA
"54060","Less Than 2 Yrs",NA,"About Right","About Right"
"54067","2 To 4 Years",NA,"Too Little","Too Little"
"54076","2 To 4 Years",NA,"Too Little","Too Little"
"54079","2 To 4 Years",NA,"Too Much","About Right"
"54101","2 To 4 Years","Too Little","Too Little","Too Little"
"54109","2 To 4 Years","About Right","About Right","Too Little"
"54117","Less Than 2 Yrs","About Right","About Right","Too Little"
"54134","More Than 4 Yrs","Too Little","Too Little","Too Little"
"54138","Less Than 2 Yrs",NA,"Too Little","Too Little"
"54145","Less Than 2 Yrs",NA,"Too Little","About Right"
"54147","2 To 4 Years",NA,"About Right","About Right"
"54149","Less Than 2 Yrs","Too Much","Too Much","Too Much"
"54151","More Than 4 Yrs","Too Much","About Right","Too Little"
"54186","More Than 4 Yrs","About Right","Too Little","Too Little"
"54188","2 To 4 Years",NA,"Too Little","Too Little"
"54207","More Than 4 Yrs",NA,"About Right","About Right"
"54208","More Than 4 Yrs","Too Little","Too Little","Too Little"
"54214","2 To 4 Years",NA,"Too Little","Too Little"
"54217","Less Than 2 Yrs",NA,"Too Much","Too Much"
"54218","2 To 4 Years","Too Little","Too Little","Too Little"
"54220","2 To 4 Years","Too Much","Too Little","Too Little"
"54228","2 To 4 Years",NA,"Too Little","About Right"
"54241","2 To 4 Years","Too Little","Too Little","About Right"
"54259","2 To 4 Years","Too Little","Too Little","About Right"
"54264","2 To 4 Years",NA,"Too Much","About Right"
"54265","More Than 4 Yrs",NA,"Too Little","Too Little"
"54270","2 To 4 Years","About Right","Too Little","Too Little"
"54272","Less Than 2 Yrs",NA,"Too Little","Too Little"
"54284","2 To 4 Years","Too Little","Too Little","Too Little"
